date,open,high,low,close,volume
2016-06-06,117.69639963431229,118.50009036228114,117.43842193558527,117.86507415771484,12744700.0
2016-06-07,118.31154281397929,118.37108077519133,116.75376782706302,116.84307098388672,17103000.0
2016-06-08,116.8430783090163,117.67653411834874,116.3568881835832,117.46817016601562,14505600.0
2016-06-09,117.2101962754921,117.75591681343775,116.79346835741875,117.63684844970703,13859200.0
2016-06-10,116.6247945899361,117.19035607374938,115.35476231540727,115.71195983886719,18510800.0
2016-06-13,114.10457151725663,114.58083740742839,112.427728000389,113.062744140625,31718200.0
2016-06-14,113.18180773821305,114.05495300176149,112.69562518225908,114.04503631591797,17618500.0
2016-06-15,114.4022338270363,114.54114312873868,113.1818077392348,113.70767974853516,19819400.0
2016-06-16,112.98337320683586,113.60846509306874,112.06061419192665,113.49932098388672,19236300.0
2016-06-17,113.52908476400712,113.53900902016952,111.68356675725173,112.13998413085938,24644300.0
2016-06-20,112.88414595270305,113.82675348159424,111.87209133967171,112.48726654052734,20785400.0
2016-06-21,113.23141742962368,114.31292660734888,113.08258387737087,113.48938751220703,19166300.0
2016-06-22,113.75728430364879,113.84657988899076,112.72538130976183,113.0230484008789,14846300.0
2016-06-23,113.47947394345815,114.19386138791243,112.6559348256976,114.18394470214844,16176900.0
2016-06-24,110.14563762269253,112.79484620850086,110.13571336675618,111.20730590820312,40643100.0
2016-06-27,110.70126712116345,110.70126712116345,107.3872774483492,108.12151336669922,36130400.0
2016-06-28,109.7685897340645,111.87208532750277,109.68921839788862,111.82247161865234,26813800.0
2016-06-29,112.4872684427777,113.36041376231523,112.159836109205,113.2711181640625,20968300.0
2016-06-30,113.77712227328999,114.28315328698235,112.78490875545545,113.3901596069336,23192700.0
2016-07-01,113.31078948828944,114.23354843417259,112.92382679195029,113.30087280273438,14980000.0
2016-07-05,113.05282853993931,113.31079864501953,112.09038006409278,113.31079864501953,14207000.0
2016-07-06,112.47733110457197,115.8806239586372,112.09036841717003,115.79132080078125,24337600.0
2016-07-07,115.7218777226838,116.05923430721589,114.46176969131845,114.94795227050781,16630200.0
2016-07-08,115.5234500731206,116.58511850908457,114.94796426708659,116.32714080810547,18142600.0
2016-07-11,116.79347453413618,117.7757639843981,116.58511056408001,116.95223236083984,17711600.0
2016-07-12,117.70629575433999,117.79559891406021,116.65455176867519,117.01174926757812,15217700.0
2016-07-13,117.46816917528216,117.47809343102075,115.77148480346032,115.8707046508789,16207700.0
2016-07-14,116.58510345931145,116.72401276421702,115.79132951414593,116.37673950195312,14579700.0
2016-07-15,116.82323379347616,117.35903007637006,115.67226988836256,115.95008850097656,16646000.0
2016-07-18,116.40649565385152,118.67866563607161,115.97984351622961,118.44053649902344,20868400.0
2016-07-19,118.0635094716297,119.90902761281745,117.73608469431446,119.6708984375,21541300.0
2016-07-20,120.30589894193463,121.24849883348408,119.62126913586857,120.9706802368164,20046500.0
2016-07-21,120.97069599984567,121.14929477383127,119.31370088952883,119.6708984375,17801700.0
2016-07-22,118.96641261906706,120.06777032497166,118.38100265638425,120.05784606933594,18422400.0
2016-07-25,120.44481609165388,120.9012334687872,116.86292415829227,120.68294525146484,18487400.0
2016-07-26,121.05005605295084,121.1195107003456,119.80978908519519,120.27613067626953,17612000.0
2016-07-27,121.4667811332931,124.02669391244319,120.56387073800461,122.3796157836914,52654200.0
2016-07-28,126.52707788014226,127.33077606240288,122.66736749208904,124.02670288085938,78955800.0
2016-07-29,123.6794310995015,124.86016017739414,122.74674786033498,122.97496032714844,35058800.0
2016-08-01,122.88565418064472,123.60997344730661,121.90336482557315,123.34207153320312,25006900.0
2016-08-02,123.09402500549135,123.82826856886652,121.11952192936458,122.13157653808594,23968400.0
2016-08-03,122.13157711390133,122.95511627752165,121.35765166182037,121.55609893798828,18525300.0
2016-08-04,121.98275151482632,123.81834529789197,121.55609933216871,123.39169311523438,21066000.0
2016-08-05,124.0068549903118,124.8601516939265,123.6496575004318,124.17552947998047,20184000.0
2016-08-08,124.2747589714972,124.47319867239807,123.58021244835484,124.28468322753906,15233900.0
2016-08-09,124.36404600712956,125.10820618927846,123.56035543280517,124.08622741699219,19621000.0
2016-08-10,124.09616156671004,124.50297279898169,123.57028954059452,123.90763854980469,10670100.0
2016-08-11,124.22512685343511,124.40372558577664,123.77863380757543,123.9274673461914,11729500.0
2016-08-12,123.72903978904947,124.02670691363797,123.21309201908409,123.90763854980469,12159000.0
2016-08-15,123.93740242696806,123.94731911241733,122.73681732858348,122.93526458740234,19295100.0
2016-08-16,122.53837498726888,122.95510286678456,121.82398001096271,122.33993530273438,14222400.0
2016-08-17,122.6971405624216,123.41152801398773,121.89344237817724,123.401611328125,13794200.0
2016-08-18,123.0444102753831,123.2924636746166,122.67728851932148,122.9451904296875,12400800.0
2016-08-19,122.63760510364374,123.19324989286983,122.3200970397957,122.59791564941406,11688300.0
2016-08-22,122.36970424829119,123.85802463787394,122.15141604662082,123.18331909179688,14386400.0
2016-08-23,123.5405206300953,124.11599877969114,123.28254296786938,123.401611328125,13309500.0
2016-08-24,123.50082877928679,123.71911698385676,122.13156915788929,122.51853942871094,12243700.0
2016-08-25,122.1613376259966,123.4016045901454,122.14148911537649,122.92533874511719,10730800.0
2016-08-26,123.08409672631463,124.21521959363841,122.94518743173022,123.98700714111328,17504800.0
2016-08-29,123.38175267516026,125.74322575453435,123.38175267516026,125.55470275878906,15925900.0
2016-08-30,125.61424531365566,125.61424531365566,124.17553856360955,124.86016082763672,17804300.0
2016-08-31,124.62202990480637,125.23720507808893,124.12592309183341,125.13798522949219,14200600.0
2016-09-01,125.39596314818345,125.64401657015168,124.62203768284093,125.1875991821289,13536100.0
2016-09-02,125.86228182003623,125.87220607470069,125.01890185327765,125.52493286132812,12118800.0
2016-09-06,125.68370764869786,128.92825068912504,125.48526793655721,128.71987915039062,26278400.0
2016-09-07,129.02744143203958,130.95233811236915,128.93814584748253,130.0295867919922,27990800.0
2016-09-08,129.90057841541721,130.05933619533843,128.7992209196734,129.25564575195312,15676600.0
2016-09-09,128.70002954077003,128.93815110930632,126.11034393310547,126.11034393310547,27100700.0
2016-09-12,124.97924144750411,127.75743537007445,124.77087747106059,127.68798828125,21252800.0
2016-09-13,127.0331202505507,127.35063590536699,125.67379231082029,126.2195053100586,18016200.0
2016-09-14,125.90197838606804,127.79710992473068,125.90197838606804,126.7751235961914,15691100.0
2016-09-15,126.98350232016055,128.09478429889697,126.67591095060588,127.35062408447266,15077200.0
2016-09-16,127.2017815657236,128.17414666273757,127.2017815657236,128.0650177001953,24119200.0
2016-09-19,128.89846844040872,128.92823363629392,127.26130696683522,127.64826965332031,14958800.0
2016-09-20,127.64828338558812,128.16423873640002,127.03311575114493,127.63836669921875,11083800.0
2016-09-21,128.12456248318304,128.99770026142494,127.39031888013477,128.92825317382812,14068300.0
2016-09-22,129.48386654049543,129.71207141474488,128.55118339359285,129.067138671875,15538300.0
2016-09-23,126.56675899798033,127.598669576377,126.30878892336986,126.9636459350586,28326300.0
2016-09-26,126.37825592341736,127.1621056190234,125.81269444304203,126.31871795654297,15064900.0
2016-09-27,126.61639562812042,128.00548880441056,126.43779685259881,127.68798828125,15637100.0
2016-09-28,128.20392151227819,128.4618915890218,127.4002158063134,128.2237548828125,12047600.0
2016-09-29,128.1741606850394,128.28330479950023,126.55686262163971,127.0926513671875,14532200.0
2016-09-30,127.03310352461727,127.58874070740757,126.4576178310194,127.271240234375,18402900.0
2016-10-03,127.38040175815047,128.08486501841642,126.8049159858322,127.76736450195312,13156900.0
2016-10-04,128.16422141634237,128.27336551157254,126.55684032293203,127.19185638427734,14307500.0
2016-10-05,127.25140781836258,127.79712838476084,126.83467987856199,127.46969604492188,12386800.0
2016-10-06,127.429988035109,128.05508746092246,127.08272235186246,127.73758697509766,11682700.0
2016-10-07,128.0352324166177,128.24360392791664,127.33076926027537,127.98563385009766,12804400.0
2016-10-10,128.67023883818248,129.68230084285614,128.19398059950282,129.22589111328125,15138700.0
2016-10-11,129.21598236496766,129.62279360439624,127.23155501943803,127.87650299072266,17537900.0
2016-10-12,128.00548424794448,128.65043223824892,127.45977882381399,128.04518127441406,11073000.0
2016-10-13,127.2117154561599,127.25139733954859,125.76307690282871,126.82474517822266,17139300.0
2016-10-14,127.48952817292847,127.9459379407264,126.58661018274958,126.88426971435547,13345300.0
2016-10-17,127.20178547100018,127.46968739268037,126.32864019401913,126.54692840576172,11351700.0
2016-10-18,127.67804528798368,128.3825236414781,127.01326395890014,127.56891632080078,13504000.0
2016-10-19,127.7375657212005,129.45409076015312,127.59865644301894,129.09689331054688,16752300.0
2016-10-20,129.0572246673732,129.64262703259547,128.4916556725135,128.98776245117188,13167500.0
2016-10-21,128.76950887621572,131.10121741876574,128.6901299534926,131.04168701171875,19088800.0
2016-10-24,131.68658086338294,132.37121062122236,131.12101188430623,132.24221801757812,17470200.0
2016-10-25,132.46051861661175,132.46051861661175,131.1904863908867,131.2599334716797,13336800.0
2016-10-26,130.6150028184295,131.23017042975073,129.92045629919932,130.01966857910156,13084700.0
2016-10-27,130.71424755603763,130.7737779598616,128.26347833207964,128.68020629882812,16741400.0
2016-10-28,129.4838885472607,131.93465761065627,128.91831946802498,130.26773071289062,24545500.0
2016-10-31,130.9820938287681,131.0912379153209,129.8609029105175,129.9700469970703,15669000.0
2016-11-01,130.38678493755995,130.91265690261247,127.64826587731068,128.4916534423828,22077800.0
2016-11-02,129.21598095340897,129.21598095340897,125.29674001679766,126.1798095703125,39640900.0
2016-11-03,121.05006294250488,122.32009517857223,118.5695288658142,119.06563568115234,63766300.0
