date,open,high,low,close,volume
2021-06-10,123.81298472926724,124.95345011953233,122.76025831506651,122.92596435546875,71186400
2021-06-11,123.33534735483208,124.22237508614661,122.91620377217826,124.1346435546875,53522400
2021-06-14,124.5927795199969,127.24409827001125,123.86171564217574,127.18561553955078,96906500
2021-06-15,126.65926509447159,127.30260492232891,126.12314857125716,126.36683654785156,62746300
2021-06-16,127.0783763157019,127.58525137205336,125.21661184407183,126.86392974853516,91815000
2021-06-17,126.52279301183641,129.20336059736883,126.37657131032402,128.46253967285156,96721700
2021-06-18,127.40983331102534,128.1896229684165,126.95169870686416,127.16614532470703,108953300
2021-06-21,127.0101523182265,129.06687904605207,125.94767651117064,128.95965576171875,79663300
2021-06-22,128.79396232556323,130.6947253937975,128.29682937988724,130.5972442626953,74783600
2021-06-23,130.39256533356104,130.92868185123652,129.8661909803765,130.32432556152344,60214200
2021-06-24,131.0554073186903,131.240612583958,129.57378007008424,130.0416717529297,68711000
2021-06-25,130.09036030729925,130.50949637284592,129.4567628177243,129.7491912841797,70783700
2021-06-28,130.04165459260284,131.83519451956099,129.98317185834844,131.37705993652344,62111300
2021-06-29,131.3965550234282,133.0438880631515,130.9579196567259,132.88792419433594,64556100
2021-06-30,132.7319822442512,133.94068011687085,132.439553660315,133.50204467773438,63261400
2021-07-01,133.15110203776288,133.86266668828733,132.33229922059724,133.80418395996094,52485800
2021-07-02,134.41826831389758,136.46525305919846,134.27206149217562,136.42626953125,78852600
2021-07-06,136.53351700878477,139.53574001915328,136.53351700878477,138.4342803955078,108181800
2021-07-07,139.91588320227135,141.23180423568894,139.0581116318865,140.91989135742188,104911600
2021-07-08,138.0053823208354,140.42276298269945,137.11835448019005,139.62347412109375,105575500
2021-07-09,139.1458132863032,141.97258743167365,139.04833216120844,141.44622802734375,99890800
2021-07-12,142.51848639937432,142.62570970674338,140.364278087154,140.85165405273438,76299700
2021-07-13,140.39352411006757,143.7369310790402,140.00362927408963,141.96287536621094,100827100
2021-07-14,144.36078433286042,145.79367103404422,143.95137538377713,145.38426208496094,127050800
2021-07-15,145.47199168239987,146.21279783696795,143.3762659892824,144.73117065429688,106820300
2021-07-16,144.71163648718607,145.97880173322068,142.19677544564345,142.6938934326172,93251400
2021-07-19,140.1206200874223,140.43254791143656,138.09313385194156,138.8534393310547,121434600
2021-07-20,139.83792120496685,143.38601770583355,139.35054523026795,142.45999145507812,96350000
2021-07-21,141.85563485293181,142.44049190950972,140.97836414159778,141.72891235351562,74993500
2021-07-22,142.2553100922622,144.4582442706814,142.12858757198936,143.09359741210938,77338200
2021-07-23,143.8246641352954,144.96512221870486,143.21056560056124,144.8091583251953,71447400
2021-07-26,144.52647939059113,146.04709009069717,143.97086362595675,145.22830200195312,72434100
2021-07-27,145.35497344078965,145.44271240050767,141.8751174935938,143.06431579589844,104818600
2021-07-28,141.15382825419624,143.25929604709813,138.94113715127986,141.3195343017578,118931200
2021-07-29,141.03686397561236,142.84990322262558,140.92964066468824,141.96287536621094,56699500
2021-07-30,140.73469364228038,142.63545700170118,140.47150644681145,142.1773223876953,70440600
2021-08-02,142.6647202141764,143.23982039265098,141.58274477107045,141.84593200683594,62880000
2021-08-03,142.12856645538005,144.30225894055675,141.51446802349406,143.63943481445312,64786600
2021-08-04,143.5517196242508,144.058579914417,142.58670986762564,143.2397918701172,56368300
2021-08-05,143.26900294123843,144.1072900112852,142.47945643165977,143.34698486328125,46397700
