date,open,high,low,close,volume
2016-06-06,116.22690064738352,117.47473652318726,115.87886197123446,117.27100372314453,2959900.0
2016-06-07,117.27950028843183,117.56811203966794,116.1929512639191,116.24388122558594,2943200.0
2016-06-08,116.52400835589009,119.59690358539844,116.29481057690614,119.18095397949219,6180800.0
2016-06-09,119.25740433273752,119.57996518733592,118.45096981451498,119.4186782836914,3682400.0
2016-06-10,119.053671122699,119.1725120588315,117.68699388082992,118.19631958007812,2805800.0
2016-06-13,117.99256519378298,118.95178947295238,117.21160876265031,117.2200927734375,2804300.0
2016-06-14,117.04182215764664,117.36438290918203,116.5834265829433,117.0333251953125,2970700.0
2016-06-15,117.45547149744733,117.82214051487264,116.86708352839224,117.04615020751953,2369400.0
2016-06-16,117.0035070311461,118.43609230361064,116.29573704117601,118.2399673461914,3176100.0
2016-06-17,118.32519039867691,118.40194623419755,116.4406583285298,117.41277313232422,4430900.0
2016-06-20,118.7174854293711,119.24617570839433,117.79653225800406,118.12057495117188,3731700.0
2016-06-21,118.70043567239196,118.72601662246558,117.73685619238137,117.83917999267578,2021400.0
2016-06-22,118.06087891200131,118.99035474081145,117.3616446319046,117.59187316894531,2375200.0
2016-06-23,118.82837310898815,119.36558616115434,117.68570076592171,118.69193267822266,2646800.0
2016-06-24,115.68174011078983,118.20582202876892,115.24683803524556,117.07168579101562,4475100.0
2016-06-27,116.09962143020176,117.1570152956556,115.52829174044342,116.91825103759766,3996200.0
2016-06-28,117.85620349436601,118.60659949439335,117.37866220676908,118.2825698852539,4160200.0
2016-06-29,119.21205820721889,119.96245428726755,119.04151423501105,119.8260269165039,3704500.0
2016-06-30,119.96245143314067,120.49967729390123,119.58725990787835,120.40587615966797,4730800.0
2016-07-01,120.37176635353903,120.90897917488198,119.91128335047931,120.1159439086914,2882500.0
2016-07-05,119.51048100647918,121.01129886467547,119.40815724766333,120.71283721923828,3749300.0
2016-07-06,120.21826800367843,121.9066883371891,120.20974535977305,121.41210174560547,4083300.0
2016-07-07,121.40361892402488,121.6509188332749,119.34000618555675,120.06483459472656,3515500.0
2016-07-08,120.83225271293995,120.9004729082518,118.99888213124424,120.46558380126953,3605500.0
2016-07-11,120.46558839620246,120.74699183322052,119.3911365436476,119.6554946899414,4084000.0
2016-07-12,120.1415739986864,120.19273590625086,118.84541595645985,119.26325988769531,4310100.0
2016-07-13,120.20124155766567,120.7384544646555,119.31439200902774,120.6446533203125,3164700.0
2016-07-14,121.42062302654088,121.8128858401764,119.78337760985113,120.09888458251953,3000700.0
2016-07-15,120.78961429244225,121.753206666779,120.28650498669923,120.5167465209961,3748700.0
